Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,37.0,37.24300003051758,34.60499954223633,34.834999084472656,32.8973274230957,396174544
2021-01-05,34.63999938964844,35.595001220703125,34.06999969482422,35.209999084472656,33.25146484375,218145818
2021-01-06,36.470001220703125,37.560001373291016,35.60300064086914,37.15999984741211,35.09299850463867,397870600
2021-01-07,37.5,37.95000076293945,36.34000015258789,36.88999938964844,34.83802032470703,200698783
2021-01-08,37.125,37.42499923706055,36.244998931884766,36.82500076293945,34.776634216308594,191583629
2021-01-11,36.06999969482422,36.82500076293945,36.064998626708984,36.165000915527344,34.153343200683594,153132933
2021-01-12,36.474998474121094,37.082000732421875,36.32500076293945,36.744998931884766,34.70108413696289,158929668
2021-01-13,37.04999923706055,37.04999923706055,36.154998779296875,36.244998931884766,34.2288932800293,112024586
2021-01-14,36.70500183105469,36.98500061035156,36.22200012207031,36.45500183105469,34.42721939086914,119276836
2021-01-15,36.21500015258789,36.79999923706055,35.70399856567383,35.935001373291016,33.93613815307617,185923864
2021-01-18,35.935001373291016,36.435001373291016,35.680999755859375,36.17499923706055,34.16278839111328,70657203
2021-01-19,36.60499954223633,36.67599868774414,35.63999938964844,36.0,33.99752426147461,163559665
2021-01-20,36.03499984741211,36.084999084472656,35.029998779296875,35.78499984741211,33.79447937011719,177987106
2021-01-21,36.0,36.20000076293945,35.13999938964844,35.314998626708984,33.350624084472656,156158062
2021-01-22,35.0,35.209999084472656,34.44300079345703,34.77000045776367,32.83594512939453,185598595
2021-01-25,35.07500076293945,35.26599884033203,30.815000534057617,33.834999084472656,31.95294952392578,160164594
2021-01-26,33.79499816894531,34.72999954223633,33.654998779296875,34.40999984741211,32.495967864990234,115446667
2021-01-27,33.630001068115234,34.345001220703125,32.880001068115234,33.25,31.400489807128906,261696512
2021-01-28,32.84000015258789,33.54499816894531,32.244998931884766,33.470001220703125,31.608257293701172,230268973
2021-01-29,32.939998626708984,33.665000915527344,32.3650016784668,33.0,31.164398193359375,203699900
